Sector,amount_2013,clim_rel_amount_2013,clim_adapt_amount_2013,clim_miti_amount_2013,non_miti_adapt_2013,non_clim_2013,amount_2014,clim_rel_amount_2014,clim_adapt_amount_2014,clim_miti_amount_2014,non_miti_adapt_2014,non_clim_2014,amount_2015,clim_rel_amount_2015,clim_adapt_amount_2015,clim_miti_amount_2015,non_miti_adapt_2015,non_clim_2015,amount_2016,clim_rel_amount_2016,clim_adapt_amount_2016,clim_miti_amount_2016,non_miti_adapt_2016,non_clim_2016,amount_2017,clim_rel_amount_2017,clim_adapt_amount_2017,clim_miti_amount_2017,non_miti_adapt_2017,non_clim_2017,amount_2018,clim_rel_amount_2018,clim_adapt_amount_2018,clim_miti_amount_2018,non_miti_adapt_2018,non_clim_2018,amount_2019,clim_rel_amount_2019,clim_adapt_amount_2019,clim_miti_amount_2019,non_miti_adapt_2019,non_clim_2019,amount_2020,clim_rel_amount_2020,clim_adapt_amount_2020,clim_miti_amount_2020,non_miti_adapt_2020,non_clim_2020,amount_2021,clim_rel_amount_2021,clim_adapt_amount_2021,clim_miti_amount_2021,non_miti_adapt_2021,non_clim_2021,amount_2022,clim_rel_amount_2022,clim_adapt_amount_2022,clim_miti_amount_2022,non_miti_adapt_2022,non_clim_2022
I.6. Other Social Infrastructure & Services,87.458268,1.510633,1.2568755,0.25375749999999997,85.947635,85.947635,93.716503,6.6372825,5.9048495,0.732433,87.0792205,87.0792205,96.456718,9.63384,1.0676675,8.5661725,86.82287799999999,86.822878,118.172602,10.8778555,0.9896695,9.888186,107.2947465,107.2947465,162.120574,9.2827215,1.3666449999999999,7.9160765,152.8378525,152.8378525,235.179781,33.329079,21.286545,12.042534,201.85070199999998,201.85070199999998,504.483565,51.998453,38.518361,13.480091999999999,452.485112,452.485112,884.176427,146.845895,133.194456,13.651439,737.330532,737.330532,861.905528,100.989853,66.3618535,34.6279995,760.915675,760.915675,1206.424242,194.255176,159.491656,34.76352,1012.169066,1012.169066
II.1. Transport & Storage,51.541005,13.5422885,9.6372715,3.905017,37.9987165,37.9987165,48.951315,13.546555,9.673708,3.872847,35.40476,35.40476,64.747675,17.2620205,11.975225,5.2867955,47.4856545,47.4856545,57.021899,15.878727,10.9845335,4.8941935,41.143172,41.143172,52.26263,23.111908,14.05349,9.058418,29.150722000000002,29.150722000000002,66.919255,34.9905045,18.0598735,16.930630999999998,31.928750500000007,31.928750500000007,49.779747,23.8904975,9.6836575,14.20684,25.8892495,25.889249500000002,68.598259,28.909347,9.4513335,19.4580135,39.688912,39.688912,68.635853,31.8508095,8.020051500000001,23.830758,36.7850435,36.7850435,47.373098999999996,34.0832335,4.065511,30.017722499999998,13.289865499999998,13.289865499999998
II.2. Communications,4.195314,0.0,0.0,0.0,4.195314,4.195314,3.124732,0.0,0.0,0.0,3.124732,3.124732,2.144173,0.002925,0.0014625,0.0014625,2.141248,2.141248,2.485459,0.158749,0.0793745,0.0793745,2.3267100000000003,2.3267100000000003,5.40918,0.12227,0.061135,0.061135,5.28691,5.28691,8.778806,0.0,0.0,0.0,8.778806,8.778806,13.066496999999998,0.0,0.0,0.0,13.066496999999998,13.066496999999998,23.479852,0.0,0.0,0.0,23.479852,23.479852,56.454291999999995,0.0,0.0,0.0,56.454291999999995,56.454291999999995,65.428028,0.0,0.0,0.0,65.428028,65.428028
II.3.a. Energy Policy,56.480637,40.2380215,1.8193715,38.41865,16.2426155,16.2426155,55.282512,40.238241,0.742954,39.495287000000005,15.044270999999995,15.044270999999995,49.497105,37.4802145,0.026256,37.4539585,12.016890500000002,12.016890499999995,50.789064,41.640485,0.7171815,40.9233035,9.148578999999998,9.148579000000005,67.503927,56.09399,0.7589319999999999,55.335058000000004,11.409937,11.409937000000006,76.050387,69.462807,1.8727575,67.5900495,6.5875799999999884,6.587580000000003,195.203482,170.96935399999998,2.3845185,168.5848355,24.234128,24.234128000000027,81.104087,62.358836,1.86225,60.496586,18.745251000000003,18.74525100000001,89.331366,78.018644,2.118728,76.079891,11.132746999999995,11.312722000000008,154.189699,150.934563,2.7655835,148.4346825,2.989432999999991,3.255135999999993
"II.3.b. Energy generation, renewable sources",126.315398,113.3352445,7.041204,106.2940405,12.980153500000014,12.9801535,139.470585,119.192982,8.054128,111.13885400000001,20.277602999999985,20.277603,108.942136,101.836219,6.957927499999999,94.8782915,7.105917000000005,7.105917000000005,159.022667,151.897807,2.4697765,149.4280305,7.124860000000012,7.124860000000012,171.40323899999999,162.4179045,1.901429,160.5164755,8.985334499999965,8.985334499999993,181.69257000000002,174.62307,5.798268,168.824802,7.069500000000005,7.069500000000005,250.435538,239.404858,2.0496005,237.3552575,11.030680000000018,11.030680000000018,348.45099600000003,256.106831,1.7745605,254.3322705,92.34416500000003,92.34416500000003,313.986037,298.9278935,4.3603760000000005,294.5675175,15.058143500000028,15.058143500000028,428.966252,425.0930915,2.0341405,423.058951,3.87316050000004,3.873160499999983
"II.3.c. Energy generation, non-renewable sources",8.449438,8.0677155,0.0,8.0677155,0.3817225000000004,0.3817225000000004,2.092299,0.946638,0.0,0.946638,1.145661,1.145661,3.0477659999999998,1.7059950000000002,0.0,1.7059950000000002,1.3417709999999996,1.3417709999999996,1.949085,1.590916,0.0,1.590916,0.35816899999999996,0.35816899999999996,0.629289,0.599562,0.0,0.599562,0.029726999999999948,0.029726999999999948,7.661885,7.661885,0.0,7.661885,0.0,0.0,2.732794,2.732794,0.0,2.732794,0.0,0.0,0.758418,0.758418,0.0,0.758418,0.0,0.0,1.105688,1.105688,0.0,1.105688,0.0,0.0,4.350797,0.0,0.0,0.0,4.350797,4.350797
II.3.f. Energy distribution,66.595444,38.826143,0.0,38.826143,27.769301,27.769301,70.073065,40.59034,0.0,40.59034,29.482725000000002,29.482725000000002,66.109539,38.711528,4.3440235000000005,34.3675045,27.398010999999997,27.398010999999997,47.732189,26.326105,1.051894,25.274211,21.406083999999996,21.406084,111.989914,59.9887635,3.2176190000000005,56.7711445,52.0011505,52.0011505,60.523746,29.2365155,0.3240035,28.912512,31.287230500000003,31.287230500000003,83.363314,57.79741,17.023259,40.774150999999996,25.565904000000003,25.565904000000003,77.88626,56.5095025,10.2020905,46.307412,21.376757499999997,21.37675749999999,121.18513800000001,93.13936650000001,11.956202,81.1831645,28.0457715,28.0457715,60.995089,52.0226695,10.630288499999999,41.392381,8.9724195,8.9724195
II.4. Banking & Financial Services,233.579991,42.2025865,0.6909255,41.511661000000004,191.3774045,191.3774045,336.885809,101.030311,70.70614350000001,30.324167499999998,235.85549799999998,235.855498,251.135067,87.29681049999999,85.70620699999999,1.5906035,163.8382565,163.8382565,201.737571,39.2033345,17.6106035,21.592731,162.53423650000002,162.53423650000002,349.385356,70.239332,17.080271,53.159061,279.146024,279.146024,349.276158,70.9914315,7.977326499999999,63.014105,278.28472650000003,278.28472650000003,256.385532,85.10499850000001,20.2289615,64.876037,171.28053350000002,171.2805335,653.8331009999999,93.2771705,38.51675,54.7604205,560.5559304999999,560.5559304999999,698.697126,140.760242,53.952281,86.80796099999999,557.936884,557.936884,350.263712,196.2457025,106.3601905,89.885512,154.0180095,154.0180095
II.5. Business & Other Services,219.026229,8.4534745,2.474243,5.9792315,210.5727545,210.5727545,196.85604,19.4052435,9.778838,9.6264055,177.4507965,177.4507965,237.867211,28.194092,14.889837,13.304255,209.67311899999999,209.67311899999999,290.202789,27.692966,18.351093,9.341873,262.509823,262.509823,308.494445,28.8912655,17.4219745,11.469290999999998,279.6031795,279.6031795,328.437148,28.430328,19.4825135,8.9478145,300.00682,300.00682,395.378787,24.997232,18.8469165,6.1503155,370.381555,370.381555,460.246733,22.9908725,16.756393,6.2344795,437.2558605,437.2558605,472.504667,25.365393,10.8340455,14.531347499999999,447.139274,447.139274,390.354321,20.784399,6.136532,14.647867,369.569922,369.569922
III.1.a. Agriculture,217.667968,114.186722,90.7644985,23.4222235,103.481246,103.481246,286.655821,148.5583495,121.313808,27.2445415,138.0974715,138.0974715,316.622347,167.651619,143.514222,24.137397,148.970728,148.97072799999998,417.399385,224.8986395,186.3706385,38.528001,192.5007455,192.5007455,421.584259,223.98417949999998,180.9932555,42.990924,197.60007949999996,197.6000795,534.432409,293.7069015,245.3904235,48.316478,240.7255075,240.7255075,569.198468,324.5562005,262.369385,62.1868155,244.6422675,244.64226750000006,909.215857,494.08711700000003,424.0234225,70.0636945,415.12874000000005,415.12874,630.702769,352.7434045,290.342487,62.4009175,277.9593645,277.9593645,1065.854451,641.022002,488.4035265,152.6184755,424.832449,424.8324489999999
